pos.x pos.y vol rho vel.x vel.y p a shock-detector massf-air e T
 8.65691 0.98434 0.00199735 1.30236 631.668 57.2525 126915 369.364 0 1 243625 339.424
 8.69043 1.00421 0.00199735 1.2929 633.285 58.9446 125578 368.755 0 1 242822 338.307
 8.72394 0.98434 0.00199735 1.28426 634.626 57.0894 124469 368.356 0 1 242297 337.575
 8.75745 1.00421 0.00199735 1.2755 636.129 58.658 123236 367.784 0 1 241545 336.527
 8.79096 0.98434 0.00199735 1.26703 637.47 56.7872 122153 367.386 0 1 241022 335.799
 8.82447 1.00421 0.00199735 1.25904 638.848 58.208 121033 366.856 0 1 240327 334.83
 8.85798 0.98434 0.00199735 1.25072 640.192 56.3244 119971 366.457 0 1 239805 334.102
 8.89149 1.00421 0.00199735 1.24354 641.44 57.5809 118967 365.972 0 1 239170 333.219
 8.925 0.98434 0.00199735 1.23533 642.79 55.6873 117923 365.571 0 1 238647 332.489
 8.95851 1.00421 0.00199735 1.22895 643.909 56.7751 117033 365.132 0 1 238074 331.691
 8.99202 0.98434 0.00199735 1.22085 645.265 54.8738 116004 364.729 0 1 237548 330.959
 9.02553 1.00421 0.00199735 1.21522 646.263 55.7993 115219 364.334 0 1 237034 330.242
 9.05904 0.98434 0.00199735 1.20722 647.623 53.8897 114206 363.928 0 1 236507 329.507
