# 1:pos.x 2:pos.y 3:pos.z 4:volume 5:rho 6:vel.x 7:vel.y 8:vel.z 9:p 10:a 11:mu 12:k 13:k_modes[0] 14:mu_t 15:k_t 16:S 17:tke 18:omega 19:massf[0]-N2 20:u 21:T 22:u_modes[0] 23:T_modes[0] 24:dt_therm
-1.150504990164047614e+00 8.321146572454318074e-03 0.000000000000000000e+00 2.387367442121049455e-04 3.319791147882437954e-03 1.594090828577086825e+02 8.231139889321264391e+00 0.000000000000000000e+00 2.701594292659652183e+03 1.067379116848630701e+03 1.775181978849806153e-05 2.690317944012814155e-02 1.245920066712480528e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 9.999999999999981126e-01 2.034461034079577075e+06 2.741815042306668602e+03 8.349442024222359760e+04 1.310673284345525417e+03 -1.000000000000000000e+00
-1.136169929484005747e+00 8.151729562444118976e-03 0.000000000000000000e+00 2.338724085499052641e-04 3.334551958159652583e-03 1.442649006340704716e+02 8.218214128573485766e+00 0.000000000000000000e+00 2.709089277238824707e+03 1.066490354698110878e+03 1.775181978849806153e-05 2.690317944012814155e-02 1.245920066712480528e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 9.999999999999987788e-01 2.031074422614468727e+06 2.737250952799944116e+03 9.052083895194821525e+04 1.349871559491916742e+03 -1.000000000000000000e+00
-1.121834890088015735e+00 7.982312803976644028e-03 0.000000000000000000e+00 2.290080728877021132e-04 3.349496924134825939e-03 1.289133201006531522e+02 8.181053273114221369e+00 0.000000000000000000e+00 2.715971286340936786e+03 1.065459174258022131e+03 1.775181978849806153e-05 2.690317944012814155e-02 1.245920066712480528e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 9.999999999999995559e-01 2.027148664304618724e+06 2.731960262535494621e+03 9.809734220443398226e+04 1.390978095820405088e+03 -1.000000000000000000e+00
-1.107499873361819764e+00 7.812896313428886741e-03 0.000000000000000000e+00 2.241437372254816152e-04 3.364734950736140724e-03 1.134088789276945022e+02 8.102331560595164461e+00 0.000000000000000000e+00 2.722175233334607583e+03 1.064257274446810470e+03 1.775181978849806153e-05 2.690317944012814155e-02 1.245920066712480528e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 9.999999999999996669e-01 2.022577761094560614e+06 2.725800119397665640e+03 1.063421392609559116e+05 1.434521069808571156e+03 -1.000000000000000000e+00
-1.093164880813969120e+00 7.643480108629917801e-03 0.000000000000000000e+00 2.192794015632819338e-04 3.380389014789214695e-03 9.784171132811721350e+01 7.965490966050639443e+00 0.000000000000000000e+00 2.727647472055958133e+03 1.062856902057116258e+03 1.775181978849806153e-05 2.690317944012814155e-02 1.245920066712480528e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 9.999999999999996669e-01 2.017258561161518795e+06 2.718631507099299142e+03 1.154492716889393632e+05 1.481367319442808366e+03 -1.000000000000000000e+00
-1.078829914090150943e+00 7.474064209028936402e-03 0.000000000000000000e+00 2.144150659010718440e-04 3.396705689900116499e-03 8.231622386237384603e+01 7.774279290601839421e+00 0.000000000000000000e+00 2.732276485073026379e+03 1.061200340593910369e+03 1.775181978849806153e-05 2.690317944012814155e-02 1.245920066712480528e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 9.999999999999996669e-01 2.010975290851127356e+06 2.710163630465965525e+03 1.256472701149689383e+05 1.532476051048090312e+03 -1.000000000000000000e+00
-1.064494974988681619e+00 7.304648635878751954e-03 0.000000000000000000e+00 2.095507302388652238e-04 3.414323155836590518e-03 6.692872454891831069e+01 7.541149812231768834e+00 0.000000000000000000e+00 2.736051737963852702e+03 1.059189968316316026e+03 1.775181978849806153e-05 2.690317944012814155e-02 1.245920066712480528e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 9.999999999999995559e-01 2.003363194610569160e+06 2.699904913475944340e+03 1.372463467566495528e+05 1.589114993045539677e+03 -1.000000000000000000e+00
-1.050160065478907168e+00 7.135233412454261223e-03 0.000000000000000000e+00 2.046863945766638077e-04 3.433335452991795583e-03 5.173478160358413191e+01 7.278184839236585546e+00 0.000000000000000000e+00 2.738992471648950868e+03 1.056820716614548246e+03 1.775181978849806153e-05 2.690317944012814155e-02 1.245920066712480528e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 9.999999999999995559e-01 1.994410762617299333e+06 2.687839844500327217e+03 1.509854549598573649e+05 1.654450724746783862e+03 -1.000000000000000000e+00
-1.035825187721895801e+00 6.965818564295468349e-03 0.000000000000000000e+00 1.998220589144537179e-04 3.454915895506028515e-03 3.677002773501025246e+01 7.012102558111706685e+00 0.000000000000000000e+00 2.741102108038116967e+03 1.053920579366642414e+03 1.775181978849806153e-05 2.690317944012814155e-02 1.245920066712480528e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 9.999999999999975575e-01 1.983479620736641577e+06 2.673108095532948028e+03 1.682853402201963472e+05 1.734446221075997300e+03 -1.000000000000000000e+00
-1.021490344094404534e+00 6.796404119491994238e-03 0.000000000000000000e+00 1.949577232522470976e-04 3.484790081027917645e-03 2.202262930991127732e+01 6.796437910868101007e+00 0.000000000000000000e+00 2.742257863589705721e+03 1.049614573629452025e+03 1.775181978849806153e-05 2.690317944012814155e-02 1.245920066712480528e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 9.999999999999954481e-01 1.967304916384529090e+06 2.651309669829725408e+03 1.916675338994686899e+05 1.839269813201259012e+03 -1.000000000000000000e+00
-1.007155537216474217e+00 6.626990109008423953e-03 0.000000000000000000e+00 1.900933875900404774e-04 3.544009713301208338e-03 7.418589286234990254e+00 6.630501820880049024e+00 0.000000000000000000e+00 2.743090057106667246e+03 1.040966129986674332e+03 1.775181978849806153e-05 2.690317944012814155e-02 1.245920066712480528e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 9.999999999999981126e-01 1.935018721034702845e+06 2.607798010188107128e+03 2.370073869438245019e+05 2.034328123647545226e+03 -1.000000000000000000e+00
