# eta f fd fdd g gd y p T rho u
1.272545 0.385502 0.615549 0.446195 2.248731 -0.329514 0.000759 3531.500000 765.018257 0.016079 1328.477246
1.282565 0.391692 0.620007 0.443704 2.245340 -0.347304 0.000767 3531.500000 763.864593 0.016103 1338.099454
1.292585 0.397927 0.624440 0.441178 2.241772 -0.364776 0.000774 3531.500000 762.650827 0.016129 1347.667413
1.302605 0.404206 0.628848 0.438621 2.238031 -0.381925 0.000781 3531.500000 761.378052 0.016156 1357.180409
1.312625 0.410529 0.633230 0.436031 2.234119 -0.398749 0.000788 3531.500000 760.047371 0.016184 1366.637742
1.322645 0.416896 0.637586 0.433410 2.230041 -0.415246 0.000796 3531.500000 758.659896 0.016214 1376.038730
1.332665 0.423306 0.641916 0.430758 2.225799 -0.431412 0.000803 3531.500000 757.216750 0.016244 1385.382709
1.342685 0.429760 0.646219 0.428078 2.221396 -0.447246 0.000810 3531.500000 755.719061 0.016277 1394.669032
1.352705 0.436256 0.650494 0.425368 2.216837 -0.462746 0.000817 3531.500000 754.167967 0.016310 1403.897070
1.362725 0.442796 0.654743 0.422631 2.212124 -0.477909 0.000824 3531.500000 752.564611 0.016345 1413.066212
1.372745 0.449377 0.658964 0.419866 2.207261 -0.492734 0.000832 3531.500000 750.910142 0.016381 1422.175863
1.382766 0.456001 0.663157 0.417076 2.202251 -0.507220 0.000839 3531.500000 749.205714 0.016418 1431.225449
1.392786 0.462667 0.667322 0.414260 2.197097 -0.521366 0.000846 3531.500000 747.452485 0.016457 1440.214412
1.402806 0.469374 0.671459 0.411419 2.191804 -0.535170 0.000853 3531.500000 745.651619 0.016496 1449.142215
1.412826 0.476123 0.675567 0.408555 2.186374 -0.548632 0.000860 3531.500000 743.804279 0.016537 1458.008336
1.422846 0.482913 0.679646 0.405669 2.180810 -0.561752 0.000867 3531.500000 741.911632 0.016580 1466.812275
1.432866 0.489743 0.683696 0.402760 2.175117 -0.574529 0.000874 3531.500000 739.974847 0.016623 1475.553547
1.442886 0.496614 0.687717 0.399830 2.169298 -0.586963 0.000881 3531.500000 737.995093 0.016668 1484.231690
1.452906 0.503525 0.691709 0.396880 2.163355 -0.599054 0.000888 3531.500000 735.973538 0.016713 1492.846256
1.462926 0.510476 0.695671 0.393911 2.157294 -0.610802 0.000895 3531.500000 733.911351 0.016760 1501.396820
1.472946 0.517466 0.699603 0.390923 2.151116 -0.622209 0.000902 3531.500000 731.809699 0.016808 1509.882973
1.482966 0.524496 0.703505 0.387918 2.144826 -0.633274 0.000909 3531.500000 729.669746 0.016858 1518.304326
1.492986 0.531564 0.707377 0.384896 2.138426 -0.643998 0.000916 3531.500000 727.492656 0.016908 1526.660507
