# t = 1
# 1:pos.x 2:pos.y 3:pos.z 4:n.x 5:n.y 6:n.z 7:area 8:cellWidthNormalToSurface 9:outsign 10:p 11:rho 12:T 13:velx 14:vely 15:velz 16:mu 17:a 18:Re 19:y+ 20:tau_wall_x 21:tau_wall_y 22:tau_wall_z 23:q_total 24:q_cond 25:q_diff
-2.9730730260635687e-02 2.3818806376801734e-02 0.0000000000000000e+00 7.8043040733833424e-01 -6.2524265633569942e-01 0.0000000000000000e+00 1.1968975791607388e-03 1.3507716900059831e-04 1 2.2504051993038447e+04 2.1200544894055001e-01 3.6972225808074711e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 2.1603479322157560e-05 7.0738089256215153e+02 9.3768851418014560e+02 1.3550154138264416e+01 5.6943284716461918e+01 6.7891635585332651e+01 0.0000000000000000e+00 -2.2996792555796442e+05 -2.2996792555796442e+05 0.0000000000000000e+00
-2.8967893151339040e-02 2.4740918039128104e-02 0.0000000000000000e+00 7.6040596560002971e-01 -6.4944804833018510e-01 0.0000000000000000e+00 1.1968975791607343e-03 1.3958706295745670e-04 1 2.1522672032783583e+04 2.0457437035211307e-01 3.6644336473809574e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 2.1463125676362889e-05 7.0537673414101369e+02 9.3847899121535761e+02 1.3892890368245704e+01 5.9400353869005755e+01 6.6579347906539397e+01 0.0000000000000000e+00 -2.1951323944040193e+05 -2.1951323944040193e+05 0.0000000000000000e+00
-2.8176468228838143e-02 2.5638613402357083e-02 0.0000000000000000e+00 7.3963109497860646e-01 -6.7301251350977687e-01 0.0000000000000000e+00 1.1968975791607395e-03 1.4427374678118091e-04 1 2.0542193974644208e+04 1.9698977919064514e-01 3.6321604904708101e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 2.1324351590153185e-05 7.0313680038549273e+02 9.3711954945405523e+02 1.4212186211087241e+01 6.1661914616663999e+01 6.5009470927604937e+01 0.0000000000000000e+00 -2.0924550880223478e+05 -2.0924550880223478e+05 0.0000000000000000e+00
-2.7357236533981616e-02 2.6511006549545243e-02 0.0000000000000000e+00 7.1812629776319115e-01 -6.9591279659231209e-01 0.0000000000000000e+00 1.1968975791607321e-03 1.4913756045951696e-04 1 1.9567079484799455e+04 1.8928873503425145e-01 3.6005026737551708e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 2.1187610928945930e-05 7.0066062235385459e+02 9.3354987454516720e+02 1.4506584432742557e+01 6.3721412353787834e+01 6.3209363801302601e+01 0.0000000000000000e+00 -1.9919481126274215e+05 -1.9919481126274215e+05 0.0000000000000000e+00
# t = 1
# 1:pos.x 2:pos.y 3:pos.z 4:n.x 5:n.y 6:n.z 7:area 8:cellWidthNormalToSurface 9:outsign 10:p 11:rho 12:T 13:velx 14:vely 15:velz 16:mu 17:a 18:Re 19:y+ 20:tau_wall_x 21:tau_wall_y 22:tau_wall_z 23:q_total 24:q_cond 25:q_diff
-2.6511006549545246e-02 2.7357236533981609e-02 0.0000000000000000e+00 6.9591279659230909e-01 -7.1812629776319381e-01 0.0000000000000000e+00 1.1968975791607373e-03 1.5417914849641149e-04 1 1.8603351181273545e+04 1.8152672969148534e-01 3.5695420165654565e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 2.1053288111679184e-05 6.9795859551666706e+02 9.2784611309829177e+02 1.4775271227740017e+01 6.5575217790987082e+01 6.1200322757418590e+01 0.0000000000000000e+00 -1.8939400357010617e+05 -1.8939400357010617e+05 0.0000000000000000e+00
-2.5638613402357083e-02 2.8176468228838136e-02 0.0000000000000000e+00 6.7301251350977687e-01 -7.3963109497860646e-01 0.0000000000000000e+00 1.1968975791607395e-03 1.5939943300134483e-04 1 1.7656375807600954e+04 1.7375531519830342e-01 3.5393650898473260e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 2.0921794470557563e-05 6.9504015778981261e+02 9.2010170877799658e+02 1.5017832889153919e+01 6.7223577189322228e+01 5.9004839042065676e+01 0.0000000000000000e+00 -1.7987835555482004e+05 -1.7987835555482004e+05 0.0000000000000000e+00
-2.4740918039128101e-02 2.8967893151339033e-02 0.0000000000000000e+00 6.4944804833018366e-01 -7.6040596560003093e-01 0.0000000000000000e+00 1.1968975791607369e-03 1.6479958756684675e-04 1 1.6724307883605834e+04 1.6595954966344570e-01 3.5100055557942392e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 2.0793315600633113e-05 6.9188667217814293e+02 9.1005908117480828e+02 1.5231940914784589e+01 6.8664061970470414e+01 5.6660278237214726e+01 0.0000000000000000e+00 -1.7064980617037404e+05 -1.7064980617037404e+05 0.0000000000000000e+00
-2.3818806376801737e-02 2.9730730260635677e-02 0.0000000000000000e+00 6.2524265633570331e-01 -7.8043040733833113e-01 0.0000000000000000e+00 1.1968975791607258e-03 1.7038101222948267e-04 1 1.5809626426045481e+04 1.5816686319272552e-01 3.4815128603981941e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 2.0668108743616108e-05 6.8849864578741176e+02 8.9771617057203559e+02 1.5416679496668003e+01 6.9900218609019802e+01 5.4193255980900673e+01 0.0000000000000000e+00 -1.6171670597036282e+05 -1.6171670597036282e+05 0.0000000000000000e+00
